,SPY,QQQ,TLT,GLD,DBA,BTC-USD
2021-07-22,409.1571044921875,354.04364013671875,128.8570098876953,169.08999633789062,16.695720672607422,32313.10546875
2021-07-23,413.3666076660156,358.1778869628906,127.99515533447266,168.55999755859375,16.616300582885742,33581.55078125
2021-07-26,414.3813171386719,358.46002197265625,127.61588287353516,168.16000366210938,17.004573822021484,37337.53515625
2021-07-27,412.4927978515625,354.51055908203125,128.97772216796875,168.44000244140625,16.907503128051758,39406.94140625
2021-07-28,412.3236083984375,355.8724060058594,128.9864044189453,169.2899932861328,16.933979034423828,39995.90625
2021-07-29,414.0336608886719,356.5047302246094,128.27093505859375,171.1699981689453,16.872207641601562,40008.421875
2021-07-30,412.02301025390625,354.6467590332031,128.874267578125,169.82000732421875,16.457460403442383,42235.546875
2021-08-02,411.1585388183594,354.6759033203125,130.02374267578125,169.61000061035156,16.48393440246582,39201.9453125
2021-08-03,414.5035400390625,356.8257141113281,130.09278869628906,169.49000549316406,16.545705795288086,38152.98046875
2021-08-04,412.4646301269531,357.3413391113281,130.36033630371094,169.52999877929688,16.466285705566406,39747.50390625
2021-08-05,415.0766296386719,359.6080017089844,129.69583129882812,168.86000061035156,16.554529190063477,40869.5546875
2021-08-06,415.7625427246094,358.0320129394531,127.52982330322266,164.63999938964844,16.660419464111328,42816.5
2021-08-09,415.4242858886719,358.6934509277344,127.07242584228516,161.72000122070312,16.554529190063477,46365.40234375
2021-08-10,415.94110107421875,356.85498046875,126.48563385009766,161.77000427246094,16.801612854003906,45585.03125
2021-08-11,416.9746398925781,356.2420959472656,126.40795135498047,164.0,16.872207641601562,45593.63671875
2021-08-12,418.2243347167969,357.52618408203125,126.20082092285156,164.0399932861328,17.013397216796875,44428.2890625
2021-08-13,418.9853515625,358.781005859375,128.1942596435547,166.38999938964844,17.057518005371094,47793.3203125
2021-08-16,419.9719543457031,358.93670654296875,128.50489807128906,167.22000122070312,17.12811279296875,46004.484375
2021-08-17,417.2189025878906,355.77520751953125,128.4532012939453,166.97000122070312,17.022220611572266,44695.359375
2021-08-18,412.65252685546875,352.3509826660156,128.8846893310547,167.10000610351562,17.031044006347656,44801.1875
2021-08-19,413.2914123535156,354.05328369140625,129.8339385986328,166.61000061035156,16.792787551879883,46717.578125
2021-08-20,416.5799865722656,357.720703125,129.92022705078125,166.6999969482422,16.625123977661133,49339.17578125
2021-08-23,420.2444152832031,363.0710754394531,129.8339385986328,168.72999572753906,16.722192764282227,49546.1484375
2021-08-24,420.9115295410156,364.17999267578125,128.82427978515625,168.64999389648438,16.898679733276367,47706.1171875
2021-08-25,421.7947692871094,364.5982360839844,127.754150390625,167.47999572753906,16.978099822998047,48960.7890625
2021-08-26,419.3047790527344,362.2831115722656,128.10800170898438,167.6699981689453,16.91632843017578,46942.21875
2021-08-27,423.0538330078125,365.80450439453125,128.9795684814453,170.19000244140625,17.048694610595703,49058.66796875
2021-08-30,424.9142150878906,369.90960693359375,129.31610107421875,169.35000610351562,17.110464096069336,47054.984375
2021-08-31,424.2846984863281,369.6080627441406,128.4359130859375,169.69000244140625,16.881031036376953,47166.6875
2021-09-01,424.5102233886719,370.2209167480469,128.65097045898438,169.6999969482422,16.819259643554688,48847.02734375
2021-09-02,425.8162841796875,370.0458679199219,129.2126922607422,169.25,16.8369083404541,49327.72265625
2021-09-03,425.712890625,371.18402099609375,128.03759765625,171.05999755859375,16.82808494567871,50025.375
2021-09-06,425.712890625,371.18402099609375,128.03759765625,171.05999755859375,16.82808494567871,52633.53515625
2021-09-07,424.1907653808594,371.70928955078125,126.95750427246094,167.7100067138672,16.722192764282227,46811.12890625
2021-09-08,423.67401123046875,370.4155578613281,127.82157897949219,167.2899932861328,16.616300582885742,46091.390625
2021-09-09,421.86053466796875,369.14117431640625,129.36822509765625,168.02999877929688,16.475109100341797,46391.421875
2021-09-10,418.53436279296875,366.3395690917969,128.2276611328125,167.17999267578125,16.40451431274414,44883.91015625
2021-09-13,419.60540771484375,366.0865478515625,129.00534057617188,167.74000549316406,16.360393524169922,44963.07421875
2021-09-14,417.34112548828125,365.0457458496094,130.56927490234375,168.82000732421875,16.386865615844727,47092.4921875
2021-09-15,420.8270263671875,367.759765625,130.11131286621094,167.8300018310547,16.554529190063477,48176.34765625
2021-09-16,420.159912109375,368.01275634765625,129.51515197753906,164.02999877929688,16.545705795288086,47783.359375
2021-09-17,416.0670471191406,363.6546630859375,128.89305114746094,163.77000427246094,16.413339614868164,47267.51953125
2021-09-20,409.1294860839844,356.1404113769531,130.49151611328125,164.94000244140625,16.254499435424805,42843.80078125
2021-09-21,408.7430114746094,356.5786437988281,130.37916564941406,166.0399932861328,16.23685073852539,40693.67578125
2021-09-22,412.730224609375,359.9091491699219,131.1568145751953,165.4199981689453,16.386865615844727,43574.5078125
2021-09-23,417.74493408203125,363.2300720214844,128.19308471679688,163.50999450683594,16.589824676513672,44895.09765625
2021-09-24,418.43304443359375,363.5708923339844,126.940185546875,163.3000030517578,16.589824676513672,42839.75
2021-09-27,417.23590087890625,360.6687927246094,126.4736099243164,163.63999938964844,16.713369369506836,42235.73046875
2021-09-28,408.82781982421875,350.4627990722656,124.5035171508789,162.0500030517578,16.766315460205078,41034.54296875
2021-09-29,409.5158996582031,349.88824462890625,124.71952056884766,161.32000732421875,16.766315460205078,41564.36328125
2021-09-30,404.5107727050781,348.60272216796875,124.70232391357422,164.22000122070312,16.872207641601562,43790.89453125
2021-10-01,409.3180236816406,350.7647399902344,125.75167846679688,164.58999633789062,17.11928939819336,48116.94140625
2021-10-04,404.03936767578125,343.40228271484375,125.43169403076172,165.36000061035156,17.08399200439453,49112.90234375
2021-10-05,408.24346923828125,348.037841796875,124.22036743164062,164.58999633789062,16.978099822998047,51514.8125
2021-10-06,409.9400634765625,350.2680358886719,124.9211196899414,165.02999877929688,16.95162582397461,55361.44921875
2021-10-07,413.4844055175781,353.481689453125,123.61475372314453,164.16000366210938,17.08399200439453,53805.984375
2021-10-08,412.730224609375,351.7191162109375,122.74964141845703,164.22999572753906,17.12811279296875,53967.84765625
2021-10-11,409.7421569824219,349.02154541015625,122.43816375732422,163.9199981689453,17.07516860961914,57484.7890625
2021-10-12,408.7336120605469,347.8041687011719,124.5318374633789,164.66000366210938,17.07516860961914,56041.05859375
2021-10-13,410.2040100097656,350.5893859863281,125.7430191040039,167.58999633789062,16.810434341430664,57401.09765625
2021-10-14,417.10394287109375,357.0461120605469,126.21028137207031,168.0,16.872207641601562,57321.5234375
2021-10-15,420.2805480957031,359.295654296875,125.47489166259766,165.3300018310547,16.942800521850586,61593.94921875
2021-10-18,421.5247802734375,362.9087219238281,126.06319427490234,164.9199981689453,16.91632843017578,62026.078125
2021-10-19,424.77679443359375,365.65496826171875,124.32415771484375,165.4499969482422,16.872207641601562,64261.9921875
2021-10-20,426.4451599121094,365.17779541015625,123.48501586914062,166.89999389648438,16.925153732299805,65992.8359375
2021-10-21,427.5575256347656,367.40802001953125,123.33787536621094,166.75,16.757490158081055,62210.171875
2021-10-22,427.1143798828125,364.3207702636719,124.69617462158203,167.77000427246094,16.748666763305664,60692.265625
2021-10-25,429.4049072265625,368.0506896972656,124.50585174560547,168.92999267578125,16.889854431152344,63039.82421875
2021-10-26,429.7914123535156,369.2096252441406,125.53543853759766,167.67999267578125,16.98692512512207,60363.79296875
2021-10-27,427.88739013671875,370.06658935546875,127.81945037841797,168.1199951171875,16.95162582397461,58482.38671875
2021-10-28,432.0160217285156,374.17626953125,127.38689422607422,168.0800018310547,17.031044006347656,60622.13671875
2021-10-29,432.8926086425781,376.016845703125,127.77619171142578,166.64999389648438,17.022220611572266,62227.96484375
2021-11-01,433.6372985839844,377.3023376464844,126.8562240600586,167.52000427246094,17.225181579589844,61004.40625
2021-11-02,435.3904724121094,378.8800048828125,127.41929626464844,167.16000366210938,17.16341209411621,63226.40234375
2021-11-03,438.0487060546875,382.90203857421875,126.10259246826172,165.77000427246094,17.145763397216797,62970.046875
2021-11-04,440.113037109375,387.8102111816406,127.42796325683594,167.64999389648438,17.092815399169922,61452.23046875
2021-11-05,441.64007568359375,388.1803283691406,129.33377075195312,169.83999633789062,17.004573822021484,61125.67578125
2021-11-08,442.01708984375,387.65447998046875,129.0911865234375,170.4499969482422,16.96044921875,67566.828125
2021-11-09,440.5560607910156,384.9861145019531,130.77175903320312,171.2899932861328,17.08399200439453,66971.828125
2021-11-10,437.0118408203125,379.3279113769531,128.38084411621094,173.14999389648438,17.19870948791504,64995.23046875
2021-11-11,437.15325927734375,380.3797607421875,128.1902618408203,174.1199951171875,17.295778274536133,64949.9609375
2021-11-12,440.4523620605469,384.3822937011719,127.6272201538086,174.4499969482422,17.428142547607422,64155.94140625
2021-11-15,440.6031188964844,384.29461669921875,126.02454376220703,174.17999267578125,17.525211334228516,63557.87109375
2021-11-16,442.3470153808594,387.03118896484375,125.70411682128906,172.9199981689453,17.53403663635254,60161.24609375
2021-11-17,441.27239990234375,387.2357482910156,126.70027160644531,174.5,17.745819091796875,60368.01171875
2021-11-18,442.7712097167969,391.24798583984375,127.1767578125,173.94000244140625,17.666400909423828,56942.13671875
2021-11-19,441.9794006347656,393.429443359375,128.51947021484375,172.61000061035156,17.71052360534668,58119.578125
2021-11-22,440.7351379394531,388.862060546875,127.0121841430664,168.74000549316406,17.789939880371094,56289.2890625
2021-11-23,441.3195495605469,387.0895690917969,125.1756591796875,167.27999877929688,17.922306060791016,57569.07421875
2021-11-24,442.4978332519531,388.3361511230469,127.1854019165039,167.1199951171875,17.878185272216797,56280.42578125
2021-11-25,442.4978332519531,388.3361511230469,127.1854019165039,167.1199951171875,17.878185272216797,57274.6796875
2021-11-26,432.62860107421875,380.9737854003906,130.39927673339844,166.85000610351562,17.622278213500977,53569.765625
2021-11-29,437.9355773925781,389.2418212890625,129.3510284423828,166.6199951171875,17.41931915283203,57806.56640625
2021-11-30,429.41436767578125,383.5253601074219,131.3174285888672,165.5,17.08399200439453,57005.42578125
2021-12-01,424.6448059082031,377.0005187988281,132.12757873535156,166.16000366210938,17.057518005371094,57229.828125
2021-12-02,431.14874267578125,379.7175598144531,132.29238891601562,165.24000549316406,17.348724365234375,56477.81640625
2021-12-03,427.397216796875,373.1147155761719,133.87091064453125,166.6300048828125,17.41931915283203,53598.24609375
2021-12-06,432.4590759277344,376.1045227050781,132.03213500976562,166.22000122070312,17.47226333618164,50582.625
2021-12-07,441.4043884277344,387.4304504394531,130.9653778076172,166.80999755859375,17.454614639282227,50700.0859375
2021-12-08,442.5732421875,389.1639709472656,128.70172119140625,166.89999389648438,17.463441848754883,50504.796875
2021-12-09,439.58514404296875,383.4376525878906,129.42152404785156,165.8800048828125,17.366371154785156,47672.12109375
2021-12-10,443.7231750488281,387.60577392578125,129.10934448242188,166.5800018310547,17.401670455932617,47243.3046875
2021-12-13,439.7925109863281,382.0060729980469,131.0174560546875,167.0,17.445791244506836,46737.48046875
2021-12-14,436.7667236328125,378.0522766113281,130.7052001953125,165.44000244140625,17.445791244506836,46612.6328125
2021-12-15,443.5912170410156,386.67083740234375,129.4475860595703,166.14999389648438,17.366371154785156,48896.72265625
2021-12-16,439.6794128417969,376.72772216796875,129.4979705810547,168.16000366210938,17.41931915283203,47665.42578125
2021-12-17,434.99993896484375,374.8482360839844,130.96539306640625,167.8000030517578,17.27812957763672,46202.14453125
2021-12-20,430.3744201660156,371.2120056152344,129.9842071533203,167.08999633789062,17.07516860961914,46880.27734375
